GEOID,filings_2020,filings_avg,racial_majority,month,ZIP,HUD Area Code_x,HUD Metro FMR Area Name_x,SAFMR22 2BR,SAFMR22 2BR 90% Pmt,SAFMR22 2BR 110% Pmt,HUD Area Code_y,HUD Metro FMR Area Name_y,SAFMR21 2BR,SAFMR21 2BR 90% Pmt,SAFMR21 2BR 110% Pmt,CBSASub20,HUD Metro FMR Area Name20,SAFMR20 2BR,SAFMR20 2BR 90% Pmt,SAFMR20 2BR 110% Pmt
10003,10,43.6666666666667,White,04/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,14,45.6666666666667,White,05/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,13,41.0,White,06/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,7,35.0,White,07/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,14,43.0,White,08/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,7,39.6666666666667,White,09/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,11,37.6666666666667,White,10/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,6,39.6666666666667,White,11/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,9,33.3333333333333,White,12/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,19,50.0,White,01/2022,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,15,36.3333333333333,White,02/2022,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,36,48.3333333333333,White,03/2022,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,26,43.6666666666667,White,04/2022,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,19,31.6666666666667,White,05/2022,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10004,0,4.33333333333333,White,01/2020,10004,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10004,1,3.0,White,02/2020,10004,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10004,0,6.33333333333333,White,03/2020,10004,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
